Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.75636	0.23122	0.41365	0.83051
1.9985	0.27973	0.7677	0.31621
1.6221	0.437	0.56909	0.49185
1.6604	0.24558	0.7683	0.48955
0.82211	0.40113	0.70843	0.31329
1.5985	0.44007	0.64908	0.40932
0.59016	0.5673	0.56973	0.48816
1.1021	0.36563	0.025555	0.91358
2.1498	0.31556	0.636	0.49785
2.3703	0.25291	0.70319	0.46132
2.0266	0.38026	0.38641	0.63144
3.6005	0.34257	0.72639	0.27359
1.4654	0.34728	0.51117	0.49524
1.1068	0.37963	0.50633	0.60442
1.202	0.22256	0.65056	0.37745
1.5521	0.20894	0.30381	0.72727
0.65768	0.37393	0.49753	0.81176
1.1651	0.25192	0.70873	0.41031
0.87727	0.48321	0.64106	0.74636
2.436	0.34627	0.57147	0.38601
1.0788	0.17799	0.44632	0.56322
0.71969	0.40245	0.4993	0.80189
2.9982	0.28981	0.88118	0.39007
5.0606	0.42563	0.61775	0.78586
3.2855	0.25715	0.31815	0.76238
1.1643	0.40152	0.55531	0.76543
0.69727	0.29321	0.69836	0.64762
2.2293	0.39382	0.81186	0.60424
0.81639	0.21871	0.26525	0.7963
0.99968	0.28867	0.2035	0.66949
0.86992	0.29705	0.72867	0.51852
3.9274	0.30442	0.91548	0.46018
1.5874	0.2206	0.68202	0.70922
1.1277	0.27874	0.54357	0.4537
1.1197	0.3645	0.19611	0.71111
2.0227	0.27856	0.41519	0.68212
1.0244	0.14951	0.70162	0.53659
