Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
5.1528	0.30567	0.46914	0.40394
6.5058	0.33658	0.91905	0.44186
6.4682	0.39793	0.76867	0.46447
3.8266	0.28361	0.59451	0.72903
2.5716	0.2913	0.36518	0.76471
7.1895	0.43682	1.0148	0.42523
2.4709	0.37314	0.68972	0.73846
8.1943	0.36567	0.7535	0.56216
7.0436	0.24816	1.853	0.28
2.9773	0.31612	0.20426	0.68056
9.0865	0.31286	0.85708	0.26715
10.408	0.3322	0.70815	0.31034
10.93	0.48679	0.61939	0.31229
6.9931	0.26506	0.77719	0.30251
2.4299	0.32805	0.37978	0.75455
2.8349	0.33877	0.77284	0.71942
2.4802	0.28268	0.57795	0.62931
8.6849	0.27203	0.72122	0.21522
5.3286	0.29018	0.64488	0.4248
11.313	0.30223	0.91528	0.17033
6.8635	0.28965	0.90864	0.38051
7.0895	0.5053	0.57836	0.54058
1.2409	0.4489	0.13144	0.89231
2.7424	0.25215	0.36341	0.4898
9.7739	0.44513	0.68196	0.42535
8.9876	0.36332	0.74253	0.54839
5.0661	0.32796	0.80583	0.61786
12.392	0.35805	0.90331	0.23656
4.5169	0.28917	0.67131	0.60987
3.0824	0.25861	0.8316	0.71552
3.4399	0.32387	0.57038	0.79452
5.1261	0.23232	1.0952	0.31156
0.72413	0.72413	0.048159	0.93651
3.5317	0.33992	0.61962	0.71023
6.4252	0.35276	0.88612	0.35866
3.5276	0.33215	0.55355	0.49393
2.5439	0.21897	0.43587	0.55769
1.9835	0.38736	0.29383	0.72072
3.6161	0.28418	0.88999	0.48636
3.6218	0.3023	0.21983	0.56716
4.619	0.26822	0.7699	0.33594
3.4574	0.19445	0.56711	0.4698
6.9719	0.34851	0.90937	0.33377
6.1593	0.53951	0.60976	0.49928
12.821	0.40976	1.4195	0.29236
1.7107	0.30878	0.36614	0.80882
3.7625	0.21697	0.78108	0.53125
4.2344	0.29939	0.60051	0.42444
3.2308	0.25862	0.71764	0.61702
2.6398	0.30925	0.40465	0.66929
1.68	0.2058	0.31602	0.8
2.2429	0.2141	0.72235	0.74627
2.9967	0.32048	1.0173	0.75188
4.6109	0.18329	1.2667	0.37131
2.078	0.30966	0.56735	0.75281
2.0839	0.3226	0.40435	0.6087
