Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.2255	0.44018	4.594e-17	0.61446
5.5988	0.31563	9.1881e-17	0.63014
0.56609	0.37324	0	0.88
3.3012	0.35202	9.1881e-17	0.75625
3.7718	0.35393	0	0.63182
2.0206	0.40402	9.1881e-17	0.73913
0.56609	0.37324	0	0.91667
0.86747	0.28785	0	0.72222
0.53572	0.53572	0	1
0.98017	0.40173	3.4455e-17	0.93182
2.3206	0.28142	0	0.63551
2.8437	0.99628	9.1881e-17	0.58882
3.487	0.36356	0	0.57895
1.3857	0.37427	0	0.85714
0.98488	0.39981	1.1485e-17	0.87234
1.1994	0.19217	0	0.72727
6.3544	0.27054	3.6752e-16	0.25035
