Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.2436	0.19763	0.67524	0.3878
1.2831	0.378	0.24476	0.68939
1.2462	0.2348	0.4908	0.70833
1.3647	0.18936	0.60078	0.63793
5.1073	0.30086	0.81842	0.43585
0.95536	0.31422	0.86919	0.34483
1.0043	0.35867	0.73323	0.38108
2.6361	0.3357	0.80328	0.43006
0.81041	0.30976	0.68773	0.57576
1.5427	0.24595	0.6072	0.23829
0.78337	0.32931	0.65683	0.71094
1.7072	0.27713	0.62014	0.50307
2.2057	0.35435	0.93765	0.469
1.0762	0.37612	0.44502	0.74
1.0323	0.37089	0.60863	0.38966
0.92278	0.29177	0.40145	0.52805
0.81958	0.37077	0.80234	0.25754
0.76693	0.38804	0.47795	0.38566
1.3087	0.2271	0.5362	0.50598
0.70609	0.24385	0.8305	0.57724
1.1198	0.21052	0.040866	0.84211
1.4014	0.30889	0.68956	0.77444
0.77646	0.44224	0.72783	0.35383
0.94786	0.19881	0.74035	0.67568
0.99113	0.22116	0.75617	0.68627
1.1151	0.22919	0.70893	0.32143
2.2579	0.28657	0.58873	0.55
0.91475	0.2484	0.58816	0.51095
0.79239	0.16911	0.77464	0.40385
1.1355	0.33111	0.46235	0.8587
0.82636	0.31869	0.49785	0.55745
1.3368	0.19118	0.6543	0.59794
0.82091	0.1718	0.21658	0.78788
1.9896	0.17993	0.70859	0.62406
0.69911	0.31595	0.26888	0.79762
4.4912	0.2453	0.93704	0.33431
1.4243	0.21365	0.49106	0.60638
2.4692	0.25784	0.84038	0.47887
4.3766	0.20588	0.77313	0.32405
1.3564	0.21434	0.49344	0.72642
0.85892	0.23732	0.74398	0.50303
0.69208	0.31793	0.096083	0.85246
1.9442	0.18803	0.66401	0.49635
1.1319	0.35277	0.69517	0.65877
1.545	0.33824	0.35188	0.7541
1.3212	0.24401	0.5891	0.61745
1.1971	0.21129	0.034211	0.81579
1.4427	0.31293	0.66344	0.81757
1.4013	0.35948	0.40011	0.76978
1.5058	0.2358	0.23943	0.76966
0.9522	0.21956	0.65117	0.67606
0.9466	0.20128	0.73921	0.51852
1.0118	0.26488	0.58046	0.61468
1.2317	0.33453	0.35176	0.78095
