Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
6.6198	0.25824	0.67524	0.3878
3.7307	0.46853	0.24476	0.68939
2.7186	0.24022	0.4908	0.70833
3.167	0.2244	0.60078	0.63793
10.563	0.38913	0.81842	0.43585
14.092	0.34145	1.0515	0.21688
7.3294	0.27517	0.86919	0.34483
8.3366	0.33409	0.73323	0.38108
5.9905	0.27575	1.1382	0.35537
10.337	0.34656	1.1105	0.43322
5.3137	0.37232	0.80328	0.43006
2.4151	0.30222	0.68773	0.57576
7.6147	0.28882	0.6072	0.23829
2.9728	0.29399	0.65683	0.71094
4.6887	0.37279	0.46694	0.51412
7.9086	0.29873	0.62014	0.50307
7.2065	0.39314	0.93765	0.469
4.933	0.36017	0.44502	0.74
6.3071	0.34413	0.60863	0.38966
4.9373	0.31123	0.40145	0.52805
8.8429	0.32473	0.80234	0.25754
5.5465	0.34458	0.47795	0.38566
9.4751	0.31422	0.81059	0.2478
3.716	0.28429	0.35948	0.67901
4.6749	0.3965	0.47376	0.53315
5.0621	0.24095	0.5362	0.50598
3.4744	0.19626	0.8305	0.57724
7.3061	0.35098	0.78166	0.38528
2.666	0.4503	0.33359	0.71429
1.2561	0.24467	0.040866	0.84211
6.1403	0.41292	0.45918	0.62411
3.0104	0.3286	0.68956	0.77444
7.5695	0.35779	0.72783	0.35383
2.4286	0.19773	0.74035	0.67568
3.904	0.28536	0.86953	0.41281
5.9186	0.46247	0.76717	0.5534
3.0076	0.22353	0.75617	0.68627
2.3209	0.31036	0.48137	0.53957
5.8438	0.24323	1.0261	0.28906
6.7865	0.24199	0.70893	0.32143
4.9698	0.37876	0.99319	0.50646
3.4353	0.33828	0.58873	0.55
2.6792	0.25092	0.58816	0.51095
3.3745	0.1793	0.77464	0.40385
2.2144	0.34263	0.46235	0.8587
4.3113	0.29182	0.49785	0.55745
2.6454	0.21057	0.6543	0.59794
6.0405	0.39589	1.1136	0.41431
1.2541	0.19911	0.21658	0.78788
4.1154	0.19369	0.70859	0.62406
2.3124	0.27827	0.26888	0.79762
1.9474	0.3255	0.35622	0.58929
7.6147	0.28882	0.93704	0.33431
2.3487	0.29441	0.51621	0.58065
4.0433	0.27079	0.49106	0.60638
6.1109	0.32061	0.84038	0.47887
7.7268	0.27469	0.77313	0.32405
2.8368	0.26069	0.49344	0.72642
3.3389	0.23874	0.74398	0.50303
1.0124	0.49331	0.096083	0.85246
7.4384	0.40284	1.0926	0.41053
3.4936	0.18693	0.66401	0.49635
3.9125	0.3412	0.69517	0.65877
2.4833	0.3558	0.35188	0.7541
3.2848	0.26898	0.5891	0.61745
1.2655	0.23527	0.034211	0.81579
3.4331	0.3385	0.66344	0.81757
2.286	0.3571	0.33623	0.69672
2.4683	0.41633	0.40011	0.76978
2.1443	0.61359	0.23943	0.76966
2.2545	0.20447	0.65117	0.67606
2.6714	0.20133	0.73921	0.51852
2.1727	0.29616	0.58046	0.61468
1.9352	0.40695	0.35176	0.78095
