Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.95738	0.40562	0.64707	0.39016
0.74675	0.32075	0.68936	0.33026
0.69818	0.3003	0.41589	0.76829
1.249	0.28168	0.67185	0.3583
1.3707	0.55391	0.054246	0.90435
1.3754	0.2167	0.67426	0.62698
1.495	0.21941	0.57494	0.47904
0.99008	0.33246	0.58738	0.53191
1.1412	0.35895	0.2875	0.79562
0.90063	0.25266	0.3924	0.73016
0.94017	0.22126	0.73945	0.7
1.247	0.30565	0.54027	0.58382
1.8859	0.44379	0.68964	0.62366
0.99108	0.47191	0.37048	0.80556
0.82419	0.24635	0.64025	0.7561
0.80015	0.48963	0.13985	0.89744
0.69962	0.15748	0.51291	0.61818
1.0945	0.36637	0.58069	0.61187
0.86149	0.25737	0.61847	0.75714
0.93242	0.2471	0.82443	0.60432
1.4881	0.25414	0.70261	0.81553
0.82452	0.22661	0.69786	0.64045
0.88875	0.38678	0.57757	0.77358
0.76581	0.76581	0.054311	0.89796
2.7908	0.28465	0.85457	0.64516
1.6834	0.26693	0.76701	0.54651
