Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.0987	0.93911	0.21909	0.81452
5.3578	0.33341	0.83389	0.39744
6.1954	0.24183	0.8229	0.22096
5.5674	0.30533	0.77667	0.41745
1.5395	1.5395	0.02519	0.94753
9.059	0.35303	0.77508	0.35501
6.7353	0.32796	0.56181	0.26437
3.8058	0.22712	0.66127	0.54545
8.6068	0.31914	0.7778	0.34963
2.78	1.0779	0.1169	0.77228
9.2076	0.34316	0.73947	0.21036
11.881	0.36941	0.96896	0.28652
5.2463	0.30754	0.84745	0.40288
9.7626	0.34333	0.88124	0.39886
8.5601	0.37473	0.83279	0.37029
7.2051	0.3519	0.6119	0.27848
3.4102	0.30415	0.7769	0.50943
14.126	0.44192	1.0814	0.29803
7.9992	0.32417	0.73241	0.52023
5.1594	0.38719	0.77882	0.47166
5.7281	0.31353	0.93382	0.50678
9.0329	0.30302	0.77915	0.24978
4.945	0.31463	0.52305	0.31335
3.3003	0.27355	0.6048	0.44976
3.7572	0.28629	0.45731	0.38889
6.2766	0.42078	0.77386	0.40029
5.6115	0.26528	0.5277	0.3726
2.8915	0.22918	0.33647	0.62727
5.9802	0.30835	1.2326	0.39506
5.72	0.36099	0.77847	0.49654
8.042	0.40962	0.67764	0.29518
5.3781	0.28751	0.82789	0.46398
5.1628	0.29578	0.76843	0.53356
6.7251	0.35417	0.69362	0.46269
7.5041	0.42235	0.76591	0.32353
12.068	0.42577	1.4429	0.35477
6.1219	0.35141	0.58282	0.45528
3.6362	0.28525	0.45861	0.52427
4.5386	0.56499	0.28472	0.72554
2.2584	0.28493	0.54748	0.76136
4.3801	0.37056	0.7312	0.4543
4.7746	0.55517	0.54607	0.63158
5.9659	0.28011	0.88932	0.38496
6.6946	0.28405	0.93401	0.34859
8.4887	0.31679	0.97438	0.27586
7.4705	0.33682	1.1622	0.34933
7.7175	0.46791	1.1107	0.43169
4.084	0.23751	0.79862	0.58721
3.1605	0.31603	0.91294	0.66667
2.6967	0.3134	0.69747	0.56051
3.3389	0.22724	0.67936	0.50641
2.6793	0.26884	0.7733	0.70093
4.0662	0.39916	0.5039	0.61905
2.878	0.38376	0.71073	0.8042
3.8013	0.44972	0.1818	0.59333
3.4042	0.32726	0.67627	0.43774
