Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.5687	0.28415	0.78829	0.64957
2.6845	0.31841	0.98964	0.63121
3.04	0.25905	0.82228	0.40594
5.2747	0.35687	0.81923	0.36499
6.8211	0.4055	0.9641	0.36595
5.1086	0.30455	0.59086	0.29401
7.9192	0.31532	0.77927	0.37518
3.9885	0.31062	0.50897	0.46237
5.1472	0.28175	0.82519	0.60643
7.0228	0.35009	0.81836	0.33204
9.4118	0.34592	1.1394	0.32945
9.278	0.34677	0.76878	0.3909
5.7141	0.42523	0.70343	0.58701
11.132	0.30887	0.9008	0.19083
5.5646	0.24163	0.58622	0.3271
4.6888	0.35845	0.66825	0.45103
1.7518	0.60307	0.40075	0.78571
4.2021	0.38397	0.75119	0.45902
3.238	0.30253	0.49371	0.71329
7.1389	0.31211	0.79001	0.68035
1.5465	0.70173	0.072651	0.81295
7.411	0.46523	0.79545	0.48188
4.9766	0.32228	0.82939	0.37029
6.115	0.37537	0.52066	0.4171
8.3027	0.36668	0.78376	0.37076
2.3062	0.16658	0.50803	0.71429
8.3048	0.32843	1.7925	0.28091
9.6134	0.48552	0.79663	0.41468
3.852	0.38146	0.45304	0.5331
2.5953	0.32564	0.69047	0.50286
10.75	0.4449	0.87161	0.28736
1.9106	0.46245	0.42254	0.71875
4.7237	0.52862	0.46004	0.64356
2.6979	0.33818	0.33093	0.70896
4.306	0.46169	0.90499	0.6699
0.66913	0.47365	0.025602	0.84615
2.8688	0.36825	0.62224	0.66667
6.5671	0.31589	0.84061	0.42688
5.3817	0.41402	0.7071	0.54846
4.3692	0.33191	0.68146	0.58077
6.2447	0.30759	0.73806	0.37951
4.0313	0.37403	0.94399	0.52159
3.2161	0.28071	0.57112	0.66197
3.0584	0.41451	0.37438	0.75429
4.8607	0.409	1.0826	0.54762
5.339	0.45511	0.67372	0.5406
4.1244	0.40052	1.3647	0.47383
2.3688	0.35273	0.65032	0.75
2.8918	0.32215	0.91368	0.62179
2.9233	0.37782	0.83086	0.7931
3.3167	0.28956	0.7133	0.71429
2.3548	0.2651	0.68125	0.54622
2.9727	0.41031	0.69791	0.51004
2.0692	0.4595	0.45382	0.72263
